code,en,fr,it,de,pt,ar,zh,ru,es,ja
Multiple_drugs,Multiple drugs,Plusieurs types de médicaments,Diversi medicinali,Diverse Arzneimittel,Drogas múltiplas,أدوية متعددة الوظائف,多种药物,Лекарства широкого профиля,Varios fármacos,多種の薬物
Tranquilisers,Tranquilisers,Tranquillisants,Tranquillanti,Beruhigungsmittel,Tranquilizantes,أدوية مهدئة ,镇静剂,Седативные препараты,Tranquilizantes,精神安定剤
Unknown,Unknown,Inconnu,Sconosciuti,Unbekannt,Desconhecido,غير معلوم ,未知,Неизвестно,Desconocido,不明
Arterial_thrombosis_medication,Arterial thrombosis medication,Médicaments contre la thrombose artérielle,Farmaci per la trombosi arteriosa,Thrombozytenaggregathemmer,Medicação trombose arterial,أدوية علاج تخثر الدم الشرياني ,动脉血栓药,Препараты против артериального тромбоза,Antiagregantes plaquetarios,動脈血栓症治療薬
Erectile_stimulants,Erectile stimulants,Stimulants de l'érection,Stimolanti erettili,Erektionsförderer,Estimulantes de ereção,منشطات الإنتصاب ,壮阳药,Эректильные стимуляторы,Medicación para disfunción erectil,ED治療薬
Diet_pills,Diet pills,Pilules amaigrissantes,Pillole dietetiche,Schlankheitspräparate,Pílulas de dieta,حبوب الحمية ,减肥药,Диетические препараты,Fármacos adelgazantes,痩せ薬
Female_hormone_pills,Female hormone pills,Hormones pour femmes,Pillole ormonali femminili,Hormone für Frauen,Pílulas de hormônio feminino,حبوب الهرمون الأنثوي,雌激素药,Женские гормоны,Hormonas femeninas,女性ホルモン剤
Psychotherapeutic_medications,Psychotherapeutic medications,Médicaments psychothérapeutiques,Medicinali psicoterapeutici,Psychopharmaka,Medicamentos psicoterápicos,أدوية العلاج النفسي ,精神病药,Психотерапевтические препараты,Psicofármacos,精神治療薬
Active_ingredient,Active ingredient,Principes actifs,Principi attivi,Aktive Wirkstoffe,Princípio ativo,عنصر فعّال ,活性成分,Активные вещества,Sustancias activas,不適切な有効成分を含むもの
Painkillers,Painkillers,Antidouleurs,Antidolorifici,Schmerzmittel,Analgésicos,مُسكنات الألم ,止痛药,Обезболивающие препараты,Analgésicos,鎮痛剤
Asthma_medication,Asthma medication,Médicaments pour l'asthme,Medicinali contro l'asma,Antiasthmatikum,Medicação para a asma,علاج الربو ,哮喘药,Препараты от астмы,Antiasmáticos,喘息治療薬
Laxative,Laxative,Laxatifs,Lassativi,Abführmittel,Laxante,مُليّن للأمعاء ,泻药,Слабительные средства,Laxantes,下剤
Thyroid_hormones,Thyroid hormones,Hormones thyroïdiennes,Ormoni per la tiroide,Schilddrüsenhormone,Hormônios tireoidianos,هرمونات الغدة الدرقية,甲状腺激素,Тиреоидные гормоны,Hormonas tiroideas,甲状腺ホルモン薬
Skin_whitening_products,Skin whitening products,Produits de blanchiment de la peau,Prodotti dimagranti,Hautaufheller,Produtos para clareamento da pele,منتجات تفتيح البشرة ,美白产品,Препараты против гиперпигментации,Agentes blanqueadores de la piel,美白製品
Doping/Bodybuilding,Doping/Bodybuilding,Dopage / bodybuilding,Doping/Bodybuilding,Doping/Bodybuilding,Doping/Musculação,منشطات / كمال الأجسام,兴奋剂/健美产品,Допинг/препараты для наращивания мышечной массы,Dopantes/culturismo,禁止薬物（ドーピング）・筋肉増強剤
Hair_regrowth_agent,Hair regrowth agent,Produits de repousse des cheveux,Prodotti per la ricrescita dei capelli,Haarwuchsmittel,Produtos para nascer cabelo,عامل إعادة نمو الشعر ,生发剂,"Препараты, стимулирующие рост волос",Regeneradores capilares,育毛剤
Skin_tanning_agent,Skin tanning agent,Agents auto-bronzants,Prodotti abbronzanti,Bräunungsmittel,Bronzeadores,عامل دباغة الجلد ,美黑剂,Препараты для искусственого загара,Agente bronceador,日焼け剤
Diuretics,Diuretics,Diurétiques,Diuretici,Diuretika,Diuréticos,مدرّات البول ,利尿剂,Препараты-диуре́тики ,Diuréticos,利尿剤
Anti-diabetic,Anti-diabetic,Antidiabétiques,Antidiabetici,Antidiabetika,Anti-diabéticos,مضادات السكري,抗糖尿病,Препараты для диабетиков,Antidiabéticos,糖尿病治療薬
Herbal_medicine,Herbal medicine,Phytothérapie,Erbe medicinali,Pflanzliches Arzneimittel,Fitoterapia,الأعشاب الطبية ,草药,Лекарственные растения,Medicamentos a base de plantas,生薬・植物薬
Dietary_supplements,Dietary supplements,Compléments alimentaires,Integratori alimentari,Nahrungsergänzungsmittel,Suplementos dietéticos,مكملات غذائية ,补养品,Диетические пищевые добавки,Complementos alimenticios,栄養補助食品
Smoking_cessation_medication,Smoking cessation medication,Produits pour arrêter de fumer,Prodotti per smettere di fumare,Raucherentwöhnung,Medicação para parar de fumar,أدوية الإقلاع عن التدخين ,戒烟药,Препараты для борьбы с курением,Medicación para dejar de fumar,禁煙補助薬
Enlarged_prostate_medication,Enlarged prostate medication,Médicaments pour la prostate,Farmaci per l'ipertrofia prostatica,Prostatapräparat,Medicação aumento da próstata,أدوية توسيع البروستات ,前列腺增生药,Препараты против простатита,Medicación para hipertrofia prostática,前立腺腫大症治療薬
High_blood_pressure_medication,High blood pressure medication,Médicaments contre l'hypertension,Medicinali per l'ipertensione,Blutdrucksenker,Medicação para pressão arterial alta,أدوية علاج ارتفاع ضغط الدم ,高血压药,Препараты против повышенного давления,Medicación para la hipertensión,高血圧治療薬
Antiepileptic,Antiepileptic,Antiépileptiques,Antiepilettici,Antiepileptika,Antiepiléptico,مُضادات الصرع ,抗癫痫药,Антиэпилептические препараты,Antiepilépticos,抗てんかん薬
Antibiotics,Antibiotics,Antibiotiques,Antibiotici,Antibiotika,Antibióticos,مضادات حيوية ,抗生素,Антибиотики,Antibióticos,抗生物質
Cancer_medication,Cancer medication,Remèdes contre le cancer,Farmaci contro il cancro,Krebspräparat,Medicamentos contra o câncer,أدوية لعلاج السرطان ,抗癌药,Онкология,Fármacos oncológicos,抗がん剤
map_title,Swiss illegal medicine imports,Importations illégales de médicaments en Suisse,Importazioni in Svizzera di farmaci illegali,Illegale Arzneimittel-Importe in die Schweiz,Importações de medicamentos ilegais na Suíça,أدوية مُوردة إلى سويسرا بطرق غير شرعية,瑞士非法药物进口,Нелегальный импорт лекарств в Швейцарию,Importaciones de fármacos ilegales en Suiza,スイスにおける違法薬物の輸入状況
source,source: Swissmedic,source: Swissmedic,Fonte: swissmedic,Quelle: Swissmedic,fonte: Swissmedic,المصدر: سويس ميديك Swissmedic,来源：Swissmedic,Источник: Swissmedic,Fuente: Swissmedic,出典：Swissmedic
popup_1,Total number of illegal drug shipments seized in Switzerland in 2014:,Nombre total de cargaisons de médicaments illégaux saisies en Suisse en 2014:,Numero totale degli invii di farmaci illegali in Svizzera confiscati nel 2014:,Anzahl beschlagnahmter illegaler Arzneimittel-Pakete in der Schweiz 2014:,Número total de transferências ilegais de droga apreendidas na Suíça em 2014:,إجمالي عدد شحنات الأدوية غير المشروعة المُصادرة في سويسرا سنة 2014:,2014年在瑞士缴获的非法药类货物总数：,"Общее число посылок с нелегальными препаратами из-за рубежа, конфискованных в Швейцарии в 2014 году",Número total de paquetes de medicamentos ilegales incautados en Suiza en 2014:,２０１４年にスイスで押収された輸入違法薬物の件数
popup_2,Top categories of illegal drugs seized,Catégories principales de médicaments illégaux saisis,Principali categorie dei farmaci illegali confiscati,Top-Kategorien der beschlagnahmten illegalen Arzneimittel,Principais categorias de drogas ilegais apreendidas,أبرز أصناف العقاقير غير المشروعة المُصادرة,缴获非法药物的主要分类,"Категории конфискованных препаратов, запрещенных к ввозу в Швейцарию",Principales categorías de medicamentos ilegales incautados,押収件数の多かったカテゴリー
